En,Nk
work beyond retirement age,퇴직나이가 지나도록 일하다
He owns nothing beyond the clothes on his back,그에게는 몸에 걸친 옷밖에 아무것도 없다
beyond the grave,죽은후에
beyond the grave,사후에
head for the valleys beyond,저멀리에 있는 골짜기로 향하다
background music,배경음악
without bias and without favour,편견도 편애도 없이
without bias and without favour,공평하게
beltedbias tire,자동차
a biased view,편견
a biaxial crystal,쌍축결정
a wine bibber,포도술군
Will you two stop bickering,이젠 그만 아웅다웅해라
go by bicycle,자전거를 타고가다
ride a bicycle,자전거를 타다
Paris is bidding to host the next Olympiad,빠리는 다음번 올림픽주최지선정경쟁에 나섰다
make a bid for mayorship,시장이 되려고 시도하다
in a bid to do,하려고
in a bid to do,할 목적으로
She bade her hopes farewell,그는 희망을 버렸다
The queen bade them enter,녀왕이 들어오라고 분부하였다
I did as he bade me,나는 그의 분부대로 하였다
bid fair to do,할것 같다
bid fair to do,할 가망이 크다
a bifid leaf,두갈래잎
a big man,큰 사나이
a big toe,엄지발가락
great big,굉장히 큰
big letters,대문자
a big word,힘든 말
a big word,힘든 말
i'm a big big girl now,난 이젠 다 자란 처녀예요
be big with child,임신하다
a year big with events,사변으로 가득찬 해
make a big mistake,큰 잘못을 저지르다
a big liar,꽝포쟁이
a big star,인기배우
a big decision,중대한 결심
a big man,거물
that's big of you,당신은 정말 도량이 크군요
be big on,아주 좋아하다
big screen,영화
her big screen debut,그 녀자의 영화 첫 출연
big shot,거물
come over big,에 효과가 크다
go over big with,성과를 보다
Whats the big idea,어찌된 일이냐
Whats the big idea,어쩌자는거냐
Whens the big day,언제 결혼식을 하였습니까
Whats the big deal,무엇이 대단하다고 그래
New Orleans,의 속칭
be a big fish in a small pond,세력권이 좁다
that's no biggie,괜찮아 일없어
get a bighead,우쭐대다
Bight of Benin,베닌만
have big ideas,대단한 계획을 가지고있다
Missouri,주의 속칭
win big money,큰돈을 벌다
have a bigmouth,수다스럽게 지껄이다
Me and my bigmouth,요놈의 입때문에
big ticket items such as cars and houses,"자동차, 주택과 같은 돈이 나가는 항목들"
be into football big time,축구를 대단히 즐기다
go by bike,자전거를 타고 가다
ride a bike,자전거를 타다
a bike ride,자전거타기
On your bike,썩 사라져
bile acid,담즙산
a bilingual dictionary,대역사전
pay a bill,료금을 지불하다
pay a bill,계산서를 청산하다
run up a huge bill,상당한 료금을 내다
a discounted bill,할인수형
a dishonoured bill,부도수형
a bill for acceptance,인수청구수형
a bill in sets a set of bills,조수형
a bill receivable,수취수형
a bill payable,지불수형
draw a bill on,에게 수형을 발행하다
throw out a bill,의안을 부결하다
be on the bill,출연하게 되다
She was top of the bill,그 녀자가 첫 출연자였다
bill of indictment,범죄자를 단죄하는 공식문건
bill of quantities,건축적산서
bill of rights,인민의 기본적인권에 관한 선언
bill of sale,매도증서
bill of sale,담보승인서
He was billed to speak at two conferences,그는 두협의회에서 연설하기로 되여있다
the red billed bird,부리가 빨간 새
Their stay at each billet was short,그들은 매 목적지마다 잠간 체류하였다
"Unfortunately, the show never lived up to its billing",공교롭게도 공연은 광보했던것만큼 훌륭하지 못했다
itemized billing,계산서의 항목별작성
a billion stars,굉장히 많은 별들
There are billions of things I want to say,말할것이 너무도 많습니다
Smoke was billowing out from the chimneymouth,굴뚝에서 연기가 타래쳐올랐다
like billyo,맹렬히
British Institute of Management,영국경영관리협회
mode,통계 를 둘가진
a recycling bin,재생용휴지통
bi bin aural,모음앞에 올 때 의 다른형
bind the pile of newspapers with string,끈으로 신문꾸레미를 묶다
bind up a package with a ribbon,꾸레미를 댕기로 묶다
an oak chest bound with brass braces,황동띠를 두른 떡갈나무궤
Her hair was bound up in a towel,그는 수건으로 머리를 동이였다
bind the wound up with a clean dressing,상처에 깨끗한 붕대를 감다
be bound by a rigid timetable,엄격한 시간표에 구속되다
be bound by affection,애정에 끌리다
They are not bound to give their reasons for leaving,그들에게는 떠날 리유를 설명할 의무가 없다
The trees bind soil and act as a windbreak,나무는 흙을 잡아두며 방풍벽으로 된다
the flour mixture isn't wet enough to bind properly,밀가루반죽의 찰기가 아직 약하다
be bound apprentice,기한부견습공으로 되다
bind a bargain with earnest money,계약금을 물고 계약을 맺다
bind the edges of the blanket with ribbon,모포가장자리를 리봉으로 두르다
be bound over for trial,재판정에 출두할 법적의무를 지니다
a binding agreement,리행해야 할 협정
a spending binge,돈을 물쓰듯하기
a binocular microscope,쌍안현미경
a bioclean room,무균실
cybernetics,를 생물학에 응용한 연구
a biographic dictionary,인명사전
a biographic sketch,략전
biologic weapons,생물세균무기
a bipartite treaty,호상조약
a bipolar world,량극세계
a flock of birds,한무리의 새
a caged bird,조롱안의 새
a flightless bird,날지 못하는 새
a bird in the hand,현실의 리익
a bird in the hand,확실한것
A bird in the hand is worth two in the bush,숲속의 두마리 새보다 손에 있는 한마리 새가 낫다
A bird in the hand is worth two in the bush,남의 돈 천량이 내 주머니의 한푼만 못하다
bird of i'll omen,불길한 새
Birds of a feather flock together,다리 부러진 노루 한곬에 모인다
get the bird for,야유를 당하다 해고되다
have a bird,큰 충격을 받다
have a bird,몹시 흥분하다
rare bird,범상치 않은 사람 비상한 사람
rare bird file,특수정보파일
the bird of Jove,독수리
the bird of Juno,공작새
the bird of Minerva the bird of night,부엉이
the bird of peace,비둘기
the bird of wonder,불사조
hear the birdies sing,완전넘어뜨리기를 당하다
hear the birdies sing,기절하다
go birdsnesting,새둥지를 뒤지려 가다
from birth,날 때부터
at birth,태여날적에
a difficult birth,힘들게 아이를 낳음
a difficult birth,난산
have a home birth,집에서 해산하다
premature birth,조산
a live birth,살아서 출생한 아이
the birth of a Republic,공화국의 출현
the time of birth,태생당시
the time of birth,태여날 때
the birth of an idea,사상의 기원
be of noble birth,귀족가문출신이다
by birth,태생은
a poet by birth,타고난 시인
"Birth is much, but breeding is more",가문보다 교육
give birth to,아이를 낳다
give birth to twins,쌍둥이를 낳다
bishop,의 직
a bit of bread,빵쪼각
bits of broken glass,깨진 유리쪼각
He read bits of his work to me,그는 나에게 작품의 일부를 읽어주었다
do a bit of exercise,약간의 체조를 하다
a little bit,조금
a little bit,약간
a bit annoyed,좀 성이 나서
a bit cold,꽤 추운
fall asleep for a bit,잠시 눈을 붙이다
in a bit,인차
in a bit,곧
a bit of a,약간
a bit of a,좀
in a bit of a hurry,좀 서둘러
He is a bit of a poet,그는 시를 좀 쓸줄 안다
bit of fluf,성적매력이 있는 녀자
bit of skirt,성적매력이 있는 녀자
bit of stuff,미인
bit on the side,정부 부정한 관계
make a bit,부수입을 얻다
every bit,어느 모로 보나
every bit,완전히
i'm not a bit tired,전혀 피곤하지 않다
quite a bit of,상당히 많은
The new system took a bit of getting used to,새로운 체계에 습관되기가 상당히 힘들었다
to bits,산산히
be broken to bits,산산히 부서지다
off the bit off the bridle,말을 천천히 걷게 하여 말고삐를 늦추고
Life is a bitch,살아간다는것이 헐치 않다
bitcher,불평가
bite a mouthful from the sandwich,쌘드위치를 한입 떼여물다
The womans arm was bitten off by an alligator,그 녀자의 팔은 악어에게 물리워 잘리웠다
bite into a cake,과자를 깨물다
"Once bitten, twice shy",한번 물리면 두번 조심한다
He eats a sandwich in three bit bites,쌘드위치 하나를 세입에 먹어치운다
have a bite to eat have a quick bite,간단히 식사하다
My legs are covered in mosquito bites,내 다리는 온통 모기에게 물린 자리이다
I like mustard with a bit of bite,난 좀 자극적인 겨자를 좋아한다
another bite at the cherry a second bite of the cherry,두번째 기회
take a bite out of,뭉청 떼여내다
take a bite out of,상당히 줄게 하다
Great barkers are no biters,짖는 개는 물지 않는다
bitesized essays,짧막한 소론문
a biting satire on,에 대한 신랄한 야유
bitter taste,쓴맛
feel very bitter about,에 대해 매우 불쾌하게 생각하다
weep bitter tears of selfreproach,쓰디쓴 자책의 눈물을 흘리다
taste the bitter fruits of the market economy,시장경제의 비참한 결과를 체험하다
a pint of bitter,쓴 맥주 한조끼
bitterly cold,몹시 추운
be bitterly disappointed,가슴아픈 실망에 빠지다
The party bivouacked for the night,일행은 밤을 보내려고 숙영하였다
Good biz,잘했다
the bizarreries of small talk,재미있는 한담
She blabbed to the press,기자들에게 종내 다 털어놓고 말았다
